mag,deg,real,imag
0.25,-90,1.530808499e-17,-0.25
0.3535533906,-135,-0.25,-0.25
0.4531538935,-115,-0.1915111108,-0.4106969024
0.498097349,-95,-0.04341204442,-0.4962019383
0.4829629131,-75,0.125,-0.4665063509
0.4095760221,-55,0.2349231552,-0.3355050358
0.2867882182,-35,0.2349231552,-0.1644949642
0.1294095226,-15,0.125,-0.03349364905
0.04357787137,-175,-0.04341204442,-0.003798061747
0.2113091309,-155,-0.1915111108,-0.08930309758
0.5590169944,-153.4349488,-0.5,-0.25
0.630876403,-138.1377813,-0.4698463104,-0.4210100717
0.6878930894,-123.8351199,-0.3830222216,-0.5713938048
0.7273282278,-110.1039094,-0.25,-0.6830127019
0.7474636702,-96.67043694,-0.08682408883,-0.7424038765
0.7474636702,-83.32956306,0.08682408883,-0.7424038765
0.7273282278,-69.89609064,0.25,-0.6830127019
0.6878930894,-56.16488013,0.3830222216,-0.5713938048
0.630876403,-41.86221872,0.4698463104,-0.4210100717
0.5590169944,-26.56505118,0.5,-0.25
0.4764398852,-9.54324728,0.4698463104,-0.07898992834
0.3896191699,10.55853606,0.3830222216,0.07139380484
0.3098284187,36.20602311,0.25,0.1830127019
0.2574841,70.2935191,0.08682408883,0.2424038765
0.2574841,109.7064809,-0.08682408883,0.2424038765
0.3098284187,143.7939769,-0.25,0.1830127019
0.3896191699,169.4414639,-0.3830222216,0.07139380484
0.4764398852,-170.4567527,-0.4698463104,-0.07898992834
